"siteId","activityId","startDate","endDate","nurse_vols","nurse_vols_hrs","social_vols","social_vols_hrs","samaritan_vols","samaritan_vols_hrs","rfl_vols","rfl_vols_hrs","fasttrack_vols","fasttrack_vols_hrs","Beneficiary.Volunteers","Beneficiaries.Hours.of.Service","staffvols_trained","Total.Volunteers..incl.Ben..","Total.Volunteer.Hours..incl.Ben..","Total.Volunteers..excl.Ben..","Total.Volunteer.Hours..excl.Ben..","locationId","locationName","latitude","longitude","partnerId","partnerName"
757306,70698,"2016-05-05","2016-05-12",14,64,7,28,9,52,0,0,0,0,0,0,0,30,144,30,144,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona"
12173443,70698,"2016-03-25","2016-03-31",5,13,0,0,0,0,0,0,0,0,0,0,0,5,13,5,13,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
16635347,70698,"2016-04-22","2016-04-28",1,28,0,0,0,0,1,42,0,0,0,0,0,2,70,2,70,519440442,"Samos",37.75,26.83333,13753,"Samos"
55981183,70698,"2016-03-25","2016-03-31",13,91,90,540,60,420,8,48,0,0,0,0,0,171,1099,171,1099,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
77153906,70698,"2015-10-01","2015-12-25",0,0,0,0,538,2791,0,0,0,0,0,0,109,538,2791,538,2791,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
86769415,70698,"2015-12-26","2015-12-31",1,7,0,0,0,0,0,0,0,0,0,0,0,1,7,1,7,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
98639876,70698,"2016-03-18","2016-03-24",14,62,0,0,0,0,0,0,0,0,0,0,24,14,62,14,62,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
101710325,70698,"2016-05-27","2016-06-02",0,0,24,79,4,195,14,42,0,0,0,0,15,42,316,42,316,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
102527156,70698,"2016-05-06","2016-05-12",12,124,17,92,21,192,0,0,0,0,0,0,0,50,408,50,408,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
102554557,70698,"2016-01-30","2016-02-04",0,0,25,151,13,1130,4,0,0,0,0,0,68,42,1281,42,1281,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
115870774,70698,"2016-05-06","2016-05-12",8,30,4,17,28,220,2,16,0,0,0,0,25,42,283,42,283,461396992,"Diavata",40.7,22.86,13838,"Diavata"
119075774,70698,"2016-02-05","2016-02-11",12,37,0,0,0,0,0,1,0,0,0,0,56,12,38,12,38,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
143332573,70698,"2016-02-19","2016-02-25",0,0,6,28,0,0,0,0,0,0,0,0,1,6,28,6,28,569080712,"Kos",36.85,27.23333,13759,"Kos"
145094460,70698,"2016-04-29","2016-05-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094663034,"Chios",38.38333,26.11667,13754,"Chios"
156316368,70698,"2016-03-11","2016-03-17",11,55,16,80,39,195,0,0,0,0,0,0,0,66,330,66,330,461396992,"Diavata",40.7,22.86,13838,"Diavata"
163416182,70698,"2016-05-13","2016-05-19",0,0,22,57,3,276,12,14,0,0,0,0,19,37,347,37,347,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
164953356,70698,"2016-04-29","2016-05-05",1,27,0,0,0,0,1,15,0,0,0,0,0,2,42,2,42,519440442,"Samos",37.75,26.83333,13753,"Samos"
172173298,70698,"2016-03-25","2016-03-31",0,0,2,10,0,0,0,0,0,0,0,0,0,2,10,2,10,569080712,"Kos",36.85,27.23333,13759,"Kos"
218588540,70698,"2016-06-10","2016-06-16",0,0,7,17,5,332,11,33,12,33,0,0,84,35,415,35,415,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
230745569,70698,"2016-01-09","2016-01-15",3,15,10,50,12,60,0,0,0,0,0,0,0,25,125,25,125,1537547328,"Idomeni",41.1265,22.518,13910,"Hellenic Red Cross"
245551154,70698,"2016-02-05","2016-02-11",3,24,22,178,12,65,0,0,0,0,0,0,3,37,267,37,267,1537547328,"Idomeni",41.1265,22.518,13760,"Idomeni"
246688993,70698,"2016-01-30","2016-02-04",0,0,11,45,5,178,2,4,0,0,0,0,0,18,227,18,227,569080712,"Kos",36.85,27.23333,13759,"Kos"
251435846,70698,"2016-05-13","2016-05-19",18,96,9,36,12,110,0,0,0,0,0,0,32,39,242,39,242,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona"
255988290,70698,"2016-06-10","2016-06-16",9,79,0,0,0,0,2,6,0,0,0,0,0,11,85,11,85,519440442,"Samos",37.75,26.83333,13753,"Samos"
263988887,70698,"2016-05-13","2016-05-19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569080712,"Kos",36.85,27.23333,13759,"Kos"
268002435,70698,"2016-05-27","2016-06-02",15,68,3,12,7,62,0,0,0,0,0,0,4,25,142,25,142,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona"
292354108,70698,"2016-03-18","2016-03-24",12,60,0,0,0,0,0,32,0,0,0,0,6,12,92,12,92,519440442,"Samos",37.75,26.83333,13753,"Samos"
296038319,70698,"2015-12-26","2016-01-01",0,0,15,150,12,1258,4,90,0,0,0,0,13,31,1498,31,1498,755114467,"Lesvos",39.1,26.55,13752,"Lesbos"
297259026,70698,"2016-04-15","2016-04-21",10,70,69,402,43,301,1,9,0,0,0,0,0,123,782,123,782,2025732386,"Athens",37.96667,23.71667,13761,"Athens"
301465499,70698,"2016-06-03","2016-06-09",0,0,4,2,2,2,2,2,0,0,0,0,0,8,6,8,6,569080712,"Kos",36.85,27.23333,13759,"Kos"
312760636,70698,"2016-06-10","2016-06-16",15,64,5,20,7,58,0,0,0,0,2,10,0,29,152,27,142,2141418389,"Ritsona",38.39,23.5,13840,"Ritsona"
